id,true_error,text,meta.Binary,true_label,given_label
625810,0,"I can't spend too much time, and I'm no specialist, but with those limitations I'd be willing to help out. Btw, how is your name pronounced?",0,17.0,11.0
73465,0,<url>. I wonder if anyone will actually suspect a conflict of interest?,0,13.0,13.0
590458,0,"Ok, that's no problem. Can you recommend any other users who would be able to train me?",1,17.0,20.0
626004,1,"Well, that was an example as I am adding Infobox Historical American Political Party infobox to all those historical parties in <url> for which I was previously using the regular Infobox American Political Party until I found the Historical version in <url>.  So if I wish to continue, I will have to assign colors and shortname to all of them if not already done (like Anti-Masonic Party) right?",0,13.0,20.0
321142,0,"Hi, i saw in a lot of biography articles are used the flag icon in the birth and death place by another wikipedian. How about your opinion about that?",0,17.0,9.0
612461,0,"I've just noticed I wrote ""It's possibly the most ''possible'' incident in his life"" for ""possibly the most ''important''"", so I may be more caught in the toils of flu than I thought. Check I haven't done anything stupid, and smooth out the text?",0,13.0,17.0
161073,0,Rxe9nyi leaves out the other gruesome details and adds the context of the fortress.  Do you know which details are in the most widespread and/or original version of this tale?,0,13.0,17.0
355457,0,"Some pictures are not mine, but those that I have changed, their own. And you can submit a complaint the owners of those photos?",0,13.0,17.0
625706,0,"Hi, I made on comment on the image page about this being different than Sbarro3 image.  Please... comment?",0,16.0,9.0
195383,0,"I removed your prod, but on second thought, he's <url>.  Do you want to send this to AfD?",0,13.0,17.0
625700,1,"Well, welcome, and thanks for helping out, as you can see it's greatly needed.  Do you have <url> yet?",1,17.0,25.0
629959,0,"Fine, but it took me no more than a couple of seconds to find a source. Why couldn't you do it instead of removing the content?",-1,9.0,5.0
625921,1,I would advise against creating seperate articles for individual characters and stick to the list. Is this what you'd expect a typical encyclopedia to be covering?,0,17.0,5.0
629953,0,"Hi there. On a tangential note, would you happen to be <person>?",1,17.0,15.0
513734,0,"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",1,21.0,21.0
244240,0,"I'll be touch and go for a few days, but hopefully I will have a stable connection again. In the mean time, I think there are a few things I need to get caught up on, yes?",0,13.0,17.0
153974,0,"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article.  Do you have any source that supports this?",0,13.0,17.0
120056,0,Seriously? Seriously?,-1,5.0,1.0
507179,1,"You may not remember doing this but, you erased a page entitled, Earl Newton.  Why did you do it?",-1,9.0,17.0
119992,0,I am not sure what are rules about GA in en.wiki but for me <url> is really outdated and it shouldn`t have GA sign. What you think?,0,13.0,17.0
616600,0,Gah! What just happned?,-1,13.0,7.0
240036,0,"Is this something that is needed, even though most of the links are still alive? Is there a WP: page describing this and how to do it?",0,13.0,17.0
130240,1,"You've violated <url> on <url>, with 2 reverts in half an hour. Would you like to revert yourself to avoid being blocked again?",-1,13.0,1.0
379688,0,"I have the picture (3D) model of a chemical compound made with Accelrys, but I don't have Photoshop. What can I do?",0,13.0,17.0
627133,1,COI? What COI do you think I have?,-1,13.0,1.0
167602,0,"I seeu2014yes, those can easily be changed back. Would you rather I start a fresh discussion about these?",0,15.0,13.0
128270,0,Can you give me a general description of <url>? Does it mention anything about making movie?,0,13.0,17.0
404995,0,I noticed that you are the major contributor to the articles. Mind if I nominate <url> at <url>?,1,17.0,21.0
192086,0,"I just occurred to me yesterday (while playing with the Bushnell 7x50 Marine binocs I got for my birthday), that the <url> section on rangefinding reticles might be worth its own article, if for no other reason than that rangefinding reticles are used on other optics, such as said binoculars (which have a compass and 5 milliradian graduated reticle) and some other specialized items, such as golf rangefinding monoculars, which use the standardized height of the flag as the known size item.  So what do you think--is there enough content in the rangefinding section to make a standalone article, and do I provide enough argument to justify pulling it out, and adding links from <url> and <url>?",0,13.0,13.0
579195,0,It's possible he may not be an english speaker. Do you know of a french version of that warning?,0,13.0,17.0
81625,0,"I might be able to lend a hand, though it's not the most interesting article to me just as a matter of personal taste so I don't want to invest tons of time. What specifically do you want help with?",0,17.0,9.0
348604,0,I can assist you with your sockpuppet report against him. :) Will you like me to just fill it out for you?,1,21.0,17.0
622385,0,I have made changes to <url>. Is that acceptable?,0,17.0,13.0
128291,0,Would you mind doing the same for <url>?,1,17.0,9.0
489419,0,"I was just now leaving a note on Ruhrfisch's talk page, and noticed that you'd left a note there.  I wrote about the <url> the other day, the first time that I've ever created an NRHP article: would you be willing to check it, and to add to the infobox if there's something that can easily be added?",1,17.0,21.0
150604,0,"I'm curious, have you had a chance to look through <url> for anything relevant to the CRU articles?  Weren't the ""Amazongate"" claims (and their subsequent retractions by News Corporation-owned ''The Times'' and ''The Sunday Times'') connected to the CRU coverage?",0,13.0,17.0
95558,0,"Ack, hit the wrong button?  How do you manage that?",-1,13.0,9.0
531493,0,<url>.  Draft beer?,0,13.0,13.0
58906,0,I saw many missing names in the huge table of geonames. (Names of places which have articles in Wikipedia) Since no editions are permitted how will the missing names be completed ?,0,13.0,17.0
605170,0,"Excuse me, but <url> seems to have slept through its normal editing period last night. Is it still working?",0,13.0,17.0
484266,0,"You've seen the RR crossing sign, such as Image:Highway-Rail_Grade_Crossing_Advance_Warning_sign.svg. How about this idea for a ""3RR crossing"" sign?",0,13.0,13.0
153809,0,That user <url> moved <url> page for no reason and I do not understand why it was moved or why a persistent vandalist like this was allowed to move it. Is there anyway at all to get it moved back and that user permanently banned?,-1,9.0,13.0
125408,0,"How about saying that the fastest flow is near the deepest part of the channel, and that in most meanders this is near the outer bank?  What do you think?",1,17.0,13.0
343268,0,"I've steadily become more interested in getting this article up to FA, but I'm having trouble finding sources that actually analyze ''contemporary R&B'' instead of the entire <url> genre. Do you have any advice or would you be interested in working on it together?",1,21.0,17.0
306099,1,When i upload <url> I get <url> can you fix it? Also why is <url> showing the old logo?,0,13.0,21.0
470794,0,"I'm also confused as to why the <url> article is linked to the PNG file, but that that file is ""not there"", but seems to redirect in some way to the SVG file. Has the PNG file been changed to SVG and the link from the article not changed?",0,13.0,15.0
560520,0,"Feeling tired, stressed, not clear? The talk page for Antractica might be just that (although I have alerted another admin before you) straw on the camels back ?",0,13.0,9.0
