id,true_error,text,meta.Binary,true_label,given_label
0,0,"Can you explain more in detail, what should I sddelat? Allocate a job? How?",0,15.0,12.0
1,0,"Will expressions always be unambiguously parenthesized like that, so you don't have to deal with precedence? Or is `X OR Y AND Z` allowed?",0,13.0,18.0
2,0,how are you resolving function pointers? I am also writing similar kind of program but still wondering how i will resolve function pointers?,0,15.0,13.0
3,0,What is the definition of `buffer`? Is it a local variable?,0,13.0,19.0
4,0,Is `A` a global variable?  What is x?,1,16.0,13.0
5,1,This is a very confusing question!  How are you compiling your C programs?,-1,14.0,1.0
6,0,Why not using `isnan()` from math.h? Any specially reason?,-1,13.0,20.0
7,0,@Foon I just know that to compile in Linux I do gcc or g++ and in Solaris I do cc. Or am I wrong about it?,0,15.0,9.0
8,0,do you want to send the 32bit number in binary form? or in ascii?,0,13.0,17.0
9,0,Does your project involve some graphical user interface? What do you want to code?,1,17.0,13.0
10,0,What have you tried? Where are you finding a problem?,0,16.0,13.0
11,0,Usually compilers should generate a good code for such algorithms. Did you check what assembly a C compiler is generating?,1,15.0,9.0
12,0,"""Cant see the error"" ? You mean your compiler crashes as badly on this code that you even can't tell us what he is complaining about?",-1,5.0,14.0
13,0,"You want to compress strings from argv, really?  Or do you mean you want to treat argv's elements as names of files to compress, like gzip the program does?",-1,11.0,20.0
14,0,"When I run the code I am able to select store and that validation is good, however when I enter in a purchase amount I get invalid message and am still able to enter in the negative values. Not sure if there is an issue with my while statement?",0,17.0,13.0
15,0,"@cHao Actually, i tried using select, but couldn't make it work. Can you give an example?",0,16.0,11.0
16,0,Delimiters corresponding to what?  What are you trying to do?,0,14.0,21.0
17,0,"BTW you typo'd the declaration of `bytes_read`. And what on earth is ""incertitude""?",-1,6.0,1.0
18,0,Too vague - explain what you expect the contents of the array to be afterwards - give a concrete example. Possibly also needs a homework tag ?,-1,11.0,20.0
19,0,"This isn't the solution BUT,
You can't assign values to a NULL pointer as you do in the start of tree_add IF the tree pointer is NULL, also you do not return any pointer from the function even though you specified that the tree_add function should return something?",0,17.0,9.0
20,0,@omri yes you are right... I have applied the logic acc. to what I thought is right if somebody could tell me what's wrong I have done ?????,-1,11.0,17.0
21,0,"Please specify the platform you are compiling on, and also specify the command line options to the compiler that you're using.  Is `-std=c99` one of the options, for example?",1,16.0,13.0
22,0,"What if I want to have another while loop within the main and split the record even further? I've noticed that then the first loop doesn't loop beyond just the first iteration, why?",0,17.0,9.0
23,0,What platform? VisualC(++)/gcc/ANSI C?,0,13.0,5.0
24,1,"You could have forgotten an include that defined a type, forgotten a smicolon, lots  of things. Can you paste the code 10 lines before and after the location that the error indicates?",1,16.0,5.0
25,0,The nth letter? Is this the Roman version of the Fibonacci sequence?,-1,13.0,15.0
